Type,Brand,Model,Benchmark,Size,Model_Type,URL
SSD,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,259.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,Crucial,P5 3D NVMe PCIe M.2 500GB,256.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1213080/CT500P5SSD8
SSD,HP,EX950 NVMe PCIe M.2 512GB,255.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,WD,Black SN750 SE NVMe PCIe M.2 1TB,247.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1625969/WD-BLACK-SN750-SE-1TB
SSD,Sabrent,Rocket NVMe PCIe M.2 4TB,247.0,4TB,M.2,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),244.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,Adata,XPG SX8200 NVMe PCIe M.2 960GB,244.0,960GB,M.2,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,WD,Black SN750 NVMe PCIe M.2 500GB (2019),244.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,242.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,Samsung,960 Evo NVMe PCIe M.2 1TB,241.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,Samsung,PM981 NVMe PCIe M.2 1TB,239.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,Samsung,SM961 NVMe PCIe M.2 512GB,238.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,Corsair,Force NVMe PCIe M.2 2TB,236.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,Samsung,970 Evo NVMe PCIe M.2 250GB,235.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,234.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,234.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,WD,Black NVMe PCIe M.2 500GB (2018),233.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,233.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,Sabrent,Rocket NVMe PCIe M.2 2TB,232.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,WD,Black SN750 SE NVMe PCIe M.2 500GB,230.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1628435/WD-BLACK-SN750-SE-500GB
SSD,Corsair,Force NVMe PCIe M.2 960GB,230.0,960GB,M.2,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,HP,EX920 NVMe PCIe M.2 512GB,229.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,WD,Blue SN550 NVMe PCIe M.2 1TB,228.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,Intel,760p Series NVMe PCIe M.2 512GB,228.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,Samsung,980 NVMe PCIe M.2 500GB,226.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1488477/Samsung-SSD-980-500GB
SSD,Samsung,PM961 NVMe PCIe M.2 1TB,225.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,Samsung,950 NVMe PCIe M.2 512GB,223.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/38554/NVMe-Samsung-SSD-950
SSD,Mushkin,Pilot NVMe PCIe M.2 500GB,221.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,Crucial,P5 3D NVMe PCIe M.2 250GB,219.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
SSD,Sabrent,Rocket NVMe PCIe M.2 1TB,219.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/764240/NVMe-Sabrent
