Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,Seagate,Barracuda 500GB (2016),80.9,500GB,Barracuda,500GB,2016.0,https://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909
HDD,Hitachi,HDS723030BLE640 3TB,80.7,3TB,HDS723030BLE640,3TB,,https://hdd.userbenchmark.com/SpeedTest/4601/Hitachi-HDS723030BLE640
HDD,WD,Purple Surveillance 6TB (2017),80.7,6TB,Purple Surveillance,6TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/342114/WDC-WD60PURZ-85ZUFY1
HDD,WD,Se 1TB (2013),80.6,1TB,Se,1TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/11078/WDC-WD1002F9YZ-09H1JL0
HDD,Toshiba,MD04ACA300 3TB,80.5,3TB,MD04ACA300,3TB,,https://hdd.userbenchmark.com/SpeedTest/31118/TOSHIBA-MD04ACA300
HDD,WD,Se 4TB,80.5,4TB,Se,4TB,,https://hdd.userbenchmark.com/WD-Se-4TB/Rating/1823
HDD,WD,Re 3TB (2012),80.4,3TB,Re,3TB,2012.0,https://hdd.userbenchmark.com/WD-Re-3TB-2012/Rating/2665
HDD,WD,Blue 4TB (2015),80.2,4TB,Blue,4TB,2015.0,https://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523
HDD,Hitachi,HDS723020BLE640 2TB,80.0,2TB,HDS723020BLE640,2TB,,https://hdd.userbenchmark.com/SpeedTest/1260/Hitachi-HDS723020BLE640
HDD,WD,Black 4TB (2013),79.5,4TB,Black,4TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/3505/WDC-WD4003FZEX-00Z4SA0
HDD,Seagate,SkyHawk 2TB (2016),79.4,2TB,SkyHawk,2TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/211060/ST2000VX008-2E3164
