Type,Brand,Model,Benchmark,Model_Type,Tier,Processor_Number,URL
CPU,Intel,Pentium B980,46.1,Pentium,Pentium,B980,https://cpu.userbenchmark.com/SpeedTest/6036/IntelR-PentiumR-CPU-B980---240GHz
CPU,AMD,Athlon X4 880K,46.1,Athlon,Athlon,X4,https://cpu.userbenchmark.com/SpeedTest/121029/AMD-Athlontm-X4-880K-Quad-Core-Processor
CPU,AMD,A8-3850 APU,46.0,A8-3850,A8-,3850,https://cpu.userbenchmark.com/SpeedTest/4311/AMD-A8-3850-APU-with-Radeontm-HD-Graphics
CPU,AMD,A6-3670 APU,46.0,A6-3670,A6-,3670,https://cpu.userbenchmark.com/SpeedTest/4657/AMD-A6-3670-APU-with-Radeontm-HD-Graphics
CPU,AMD,Athlon II X4 645,46.0,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/SpeedTest/2408/AMD-Athlontm-II-X4-645-Processor
CPU,Intel,Core M-5Y70,46.0,Core,Core M-,5Y70,https://cpu.userbenchmark.com/SpeedTest/16573/IntelR-Processor-5Y70-CPU---110GHz
CPU,AMD,Phenom 9850,45.9,Phenom,Phenom,9850,https://cpu.userbenchmark.com/SpeedTest/2967/AMD-Phenomtm-9850-Quad-Core-Processor
CPU,Intel,Core i3 540,45.9,Core,Core i3,540,https://cpu.userbenchmark.com/SpeedTest/2936/IntelR-CoreTM-i3-CPU---------540----307GHz
CPU,Intel,Celeron G530,45.9,Celeron,Celeron,G530,https://cpu.userbenchmark.com/SpeedTest/229/IntelR-CeleronR-CPU-G530---240GHz
CPU,AMD,A10-7870K APU (2014 D.Ka),45.8,A10-7870K,A10-,7870K,https://cpu.userbenchmark.com/SpeedTest/29728/AMD-A10-7870K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,AMD,Phenom II X2 550,45.8,Phenom,Phenom II,X2,https://cpu.userbenchmark.com/SpeedTest/2418/AMD-Phenomtm-II-X2-550-Processor
CPU,Intel,Core M-5Y10a,45.7,Core,Core M-,5Y10a,https://cpu.userbenchmark.com/SpeedTest/26061/IntelR-Processor-5Y10a-CPU---080GHz
CPU,Intel,Core i7-6500U,45.6,Core,i7,6500U,https://cpu.userbenchmark.com/SpeedTest/36930/IntelR-CoreTM-i7-6500U-CPU---250GHz
CPU,Intel,Pentium B970,45.6,Pentium,Pentium,B970,https://cpu.userbenchmark.com/SpeedTest/559/IntelR-PentiumR-CPU-B970---230GHz
CPU,Intel,Core i3 530,45.6,Core,Core i3,530,https://cpu.userbenchmark.com/SpeedTest/132/IntelR-CoreTM-i3-CPU---------530----293GHz
CPU,Intel,Core2 Quad Q9300,45.5,Core2,Core2 Quad,Quad,https://cpu.userbenchmark.com/SpeedTest/832/IntelR-CoreTM2-Quad--CPU---Q9300----250GHz
CPU,Intel,Core i5-7200U,45.4,Core,i5,7200U,https://cpu.userbenchmark.com/SpeedTest/153577/IntelR-CoreTM-i5-7200U-CPU---250GHz
CPU,AMD,Athlon II X4 860K,45.4,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/AMD-Athlon-II-X4-860K/Rating/3265
CPU,Intel,Core i3-3227U,45.4,Core,i3,3227U,https://cpu.userbenchmark.com/SpeedTest/5042/IntelR-CoreTM-i3-3227U-CPU---190GHz
CPU,AMD,Athlon II X2 265,45.4,Athlon,Athlon II,X2,https://cpu.userbenchmark.com/SpeedTest/986/AMD-Athlontm-II-X2-265-Processor
CPU,AMD,Athlon II X4 635,45.3,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/SpeedTest/3369/AMD-Athlontm-II-X4-635-Processor
CPU,Intel,Core i5-2467M,45.3,Core,i5,2467M,https://cpu.userbenchmark.com/SpeedTest/854/IntelR-CoreTM-i5-2467M-CPU---160GHz
CPU,AMD,Phenom II X2 555,45.3,Phenom,Phenom II,X2,https://cpu.userbenchmark.com/SpeedTest/2917/AMD-Phenomtm-II-X2-555-Processor
CPU,AMD,Athlon II X3 455,45.2,Athlon,Athlon II,X3,https://cpu.userbenchmark.com/SpeedTest/1884/AMD-Athlontm-II-X3-455-Processor
CPU,Intel,Xeon E5420,45.2,Xeon,Xeon E542,0,https://cpu.userbenchmark.com/SpeedTest/11278/IntelR-XeonR-CPU-----------E5420----250GHz
CPU,AMD,Ryzen 3 2200U,45.1,Ryzen,Ryzen 3,2200U,https://cpu.userbenchmark.com/SpeedTest/480281/AMD-Ryzen-3-2200U-with-Radeon-Vega-Mobile-Gfx
CPU,AMD,Phenom II X2 545,45.1,Phenom,Phenom II,X2,https://cpu.userbenchmark.com/SpeedTest/8398/AMD-Phenomtm-II-X2-545-Processor
CPU,AMD,A10-7850K APU (2014 D.Ka),45.1,A10-7850K,A10-,7850K,https://cpu.userbenchmark.com/AMD-A10-7850K-APU-2014-DKa/Rating/2937
CPU,AMD,A8-7500 APU (2014 M.Ka),45.0,A8-7500,A8-,7500,https://cpu.userbenchmark.com/SpeedTest/60388/AMD-A8-7500-Radeon-R7-10-Compute-Cores-4C-6G
CPU,AMD,Athlon X4 845,45.0,Athlon,Athlon,X4,https://cpu.userbenchmark.com/SpeedTest/84491/AMD-Athlontm-X4-845-Quad-Core-Processor
CPU,Intel,Core M-5Y71,45.0,Core,Core M-,5Y71,https://cpu.userbenchmark.com/SpeedTest/24191/IntelR-CoreTM-M-5Y71-CPU---120GHz
CPU,Intel,Core i5-7300U,45.0,Core,i5,7300U,https://cpu.userbenchmark.com/SpeedTest/223355/IntelR-CoreTM-i5-7300U-CPU---260GHz
CPU,AMD,Athlon 300U,44.9,Athlon,Athlon,300U,https://cpu.userbenchmark.com/SpeedTest/852003/AMD-Athlon-300U-with-Radeon-Vega-Mobile-Gfx
CPU,AMD,Athlon II X4 640,44.8,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/SpeedTest/225/AMD-Athlontm-II-X4-640-Processor
CPU,Intel,Core2 Quad Q8400,44.6,Core2,Core2 Quad,Quad,https://cpu.userbenchmark.com/SpeedTest/1663/IntelR-CoreTM2-Quad-CPU----Q8400----266GHz
CPU,AMD,Athlon II X4 630,44.6,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/SpeedTest/471/AMD-Athlontm-II-X4-630-Processor
CPU,Intel,Core i3-4030U,44.6,Core,i3,4030U,https://cpu.userbenchmark.com/SpeedTest/13661/IntelR-CoreTM-i3-4030U-CPU---190GHz
CPU,AMD,A10-7700K APU (2014 D.Ka),44.6,A10-7700K,A10-,7700K,https://cpu.userbenchmark.com/SpeedTest/9888/AMD-A10-7700K-APU-with-RadeonTM-R7-Graphics
CPU,Intel,Core i7-6600U,44.5,Core,i7,6600U,https://cpu.userbenchmark.com/SpeedTest/36828/IntelR-CoreTM-i7-6600U-CPU---260GHz
CPU,Intel,Core m3-6Y30,44.4,Core,,,https://cpu.userbenchmark.com/SpeedTest/38171/IntelR-CoreTM-m3-6Y30-CPU---090GHz
CPU,Intel,Core i5-4210Y,44.4,Core,i5,4210Y,https://cpu.userbenchmark.com/SpeedTest/6358/IntelR-CoreTM-i5-4210Y-CPU---150GHz
CPU,Intel,Pentium 2127U,44.4,Pentium,Pentium,2127U,https://cpu.userbenchmark.com/SpeedTest/3354/IntelR-PentiumR-CPU-2127U---190GHz
CPU,Intel,Core i5-3339Y,44.4,Core,i5,3339Y,https://cpu.userbenchmark.com/SpeedTest/3454/IntelR-CoreTM-i5-3339Y-CPU---150GHz
CPU,AMD,Phenom 9750,44.4,Phenom,Phenom,9750,https://cpu.userbenchmark.com/SpeedTest/2439/AMD-Phenomtm-9750-Quad-Core-Processor
CPU,AMD,Athlon 64 X2 Dual Core 6400+,44.4,Athlon,Athlon,64,https://cpu.userbenchmark.com/SpeedTest/5653/AMD-Athlontm-64-X2-Dual-Core-Processor-6400-
CPU,Intel,Core M-5Y10c,44.4,Core,Core M-,5Y10c,https://cpu.userbenchmark.com/SpeedTest/23759/IntelR-CoreTM-M-5Y10c-CPU---080GHz
CPU,AMD,FX-770K (2014 D.Ka),44.3,FX-770K,FX-,770K,https://cpu.userbenchmark.com/SpeedTest/18603/AMD-FXtm-770K-Quad-Core-Processor
CPU,AMD,A6-3650 APU,44.3,A6-3650,A6-,3650,https://cpu.userbenchmark.com/SpeedTest/1954/AMD-A6-3650-APU-with-Radeontm-HD-Graphics
CPU,Intel,Core i5-4300Y,44.2,Core,i5,4300Y,https://cpu.userbenchmark.com/SpeedTest/8659/IntelR-CoreTM-i5-4300Y-CPU---160GHz
CPU,Intel,Core2 Quad Q6700,44.2,Core2,Core2 Quad,Quad,https://cpu.userbenchmark.com/SpeedTest/3748/IntelR-CoreTM2-Quad-CPU----Q6700----266GHz
CPU,AMD,A4-6320 APU,44.1,A4-6320,A4-,6320,https://cpu.userbenchmark.com/SpeedTest/12932/AMD-A4-6320-APU-with-Radeontm-HD-Graphics
CPU,Intel,Celeron 1005M,44.1,Celeron,Celeron,1005M,https://cpu.userbenchmark.com/SpeedTest/5234/IntelR-CeleronR-CPU-1005M---190GHz
CPU,Intel,Pentium 3805U,44.1,Pentium,Pentium,3805U,https://cpu.userbenchmark.com/SpeedTest/34360/IntelR-PentiumR-3805U---190GHz
CPU,AMD,A10-9700E APU (2016 D.BR),44.1,A10-9700E,A10-,9700E,https://cpu.userbenchmark.com/SpeedTest/348934/AMD-A10-9700E-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,Intel,Core i5-2537M,44.0,Core,i5,2537M,https://cpu.userbenchmark.com/SpeedTest/3186/IntelR-CoreTM-i5-2537M-CPU---140GHz
CPU,AMD,A12-9800 APU (2016 M.BR),44.0,A12-9800,A12-,9800,https://cpu.userbenchmark.com/SpeedTest/283761/AMD-A12-9800-RADEON-R7-12-COMPUTE-CORES-4C-8G
CPU,Intel,Core i3-4010U,44.0,Core,i3,4010U,https://cpu.userbenchmark.com/SpeedTest/4821/IntelR-CoreTM-i3-4010U-CPU---170GHz
CPU,Intel,Pentium B940,44.0,Pentium,Pentium,B940,https://cpu.userbenchmark.com/SpeedTest/2724/IntelR-PentiumR-CPU-B940---200GHz
